Comment,Designator,Footprint,LCSC Part #
0.47R,R9,R0402,C423162
1k65,R11,R0603,C22845
1uF,C7,C0603,
1uF,C3 C8 C9 C10 C11 C12 C13 C14 C15 C16,C0402,
2.2R,R12,R0402,C163444
4.7uF,C5,C0603,C19666
4.7uF,C18,C0603,C19666
10k,R1 R2 R3 R4 R8,R0402,
10uF,C21,C0603,
22uF,C4 C17 C23,C0603,
47uF,C2,A/3216-18R,C122913 
68uH,L1,SMNR4020,C135265
100nF,C20,C0603,
100k,R6 R13,R0402,
100nF,C1 C6,C0603,
100nF,C22,C0402,
300k,R14,R0402,C25774
330,R10,R0603,
0805L050,F1,0805L,C66452
AO3400A,Q3,SOT23-3,C20917
BAT60B,D1 D2,SOD323-R,C22638
Boot button,FLASH,TS1088R02026,C455280
EN botton,RESET,TS1088R02026,C455280
ESP32-WROOM-32D,ESP32,ESP32WROOM32D,C82899
HT7833,LDO1 LDO2,SOT23-5,
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
MBR0530,D4 D5 D6,SOD123,C77336
MMBT5401,Q2,SOT23-BEC,C8326
MMDT3904,Q1,SC70-6,C268586
MicroXNJ,CHARGING,U254-051T-4BH23-S2B,C404969
RED,CHRG,CHIP-LED0603,C2286
TP4054,U1,SOT-23-5,C32574
